id;date;exercise;meals;alcohol;notes
1;2022-11-07;6198;38418;57707;withdrawal Bedfordshire Analyst
2;2022-11-07;2388;1106;9423;Account Garden New
3;2022-11-07;76967;8783;81008;e-business override bandwidth
4;2022-11-07;14053;35227;55062;dynamic Concrete
5;2022-11-07;3838;53842;86262;Drive Research
6;2022-11-07;88201;96453;19830;XSS
7;2022-11-07;45449;51221;53191;interfaces Frozen
8;2022-11-07;98590;58178;44831;program payment
9;2022-11-07;45405;85555;60037;transparent green robust
10;2022-11-07;9401;94414;46576;seize synthesize
